Team,Rusher
49ers,10.064972296391701
Bears,55.478243884623886
Bengals,5.576968435405584
Bills,34.60877953586517
Broncos,-3.6108309188872885
Browns,47.582357419253555
Buccaneers,-23.950630431658375
Cardinals,13.997281829316115
Chargers,-1.8233906790459051
Chiefs,5.813173301156999
Colts,-11.619537283739175
Commanders,-5.871118192458171
Cowboys,28.569614414623175
Dolphins,3.4429232273115074
Eagles,34.39351576130246
Falcons,48.27721503508778
Giants,16.83970508390165
Jaguars,-5.27444345964692
Jets,5.181047664018678
Lions,-3.039100799300812
Packers,31.356571903921214
Panthers,13.928172729595396
Patriots,19.14952531117557
Raiders,41.170672713464576
Rams,2.424084278199397
Ravens,17.421378446125818
Saints,-3.4818430944929832
Seahawks,11.592422522111667
Steelers,5.851061886954646
Texans,4.832387064203689
Titans,21.703348652564483
Vikings,-8.275812863600411
